MISSION_TIME,ALTITUDE,AEROSOL_COUNT
16.200,993.20,28.29
16.400,990.80,33.14
16.600,988.40,35.23
16.800,986.00,25.30
17.000,983.60,29.15
17.200,981.20,32.12
17.400,978.80,29.24
17.600,976.40,30.62
17.800,974.00,22.89
18.000,971.60,26.02
18.200,969.20,35.71
18.400,966.80,33.41
18.600,964.40,30.96
18.800,962.00,-14.20
19.000,959.60,33.58
19.200,957.20,34.56
19.400,954.80,36.40
19.600,952.40,29.21
19.800,950.00,29.94
20.000,947.60,30.96
20.200,945.20,37.73
20.400,942.80,36.51
20.600,940.40,39.04
20.800,938.00,26.15
21.000,935.60,29.89
21.200,933.20,29.35
21.400,930.80,32.29
21.600,928.40,30.88
21.800,926.00,30.83
22.000,923.60,30.79
22.200,921.20,40.71
22.400,918.80,29.01
22.600,916.40,41.60
22.800,914.00,31.53
23.000,911.60,30.09
23.200,909.20,33.20
23.400,906.80,36.01
23.600,904.40,32.21
23.800,902.00,40.31
24.000,899.60,36.26
24.200,897.20,35.59
24.400,894.80,34.03
24.600,892.40,38.21
24.800,890.00,32.22
25.000,887.60,39.30
25.200,885.20,33.74
25.400,882.80,38.16
25.600,880.40,36.21
25.800,878.00,41.38
26.000,875.60,37.50
26.200,873.20,42.05
26.400,870.80,32.73
26.600,868.40,37.46
26.800,866.00,36.88
27.000,863.60,47.11
27.200,861.20,37.81
27.400,858.80,42.26
27.600,856.40,36.56
27.800,NaN_ERR,38.85
28.000,851.60,41.26
28.200,849.20,39.95
28.400,846.80,38.27
28.600,844.40,39.79
28.800,842.00,39.72
29.000,839.60,37.47
29.200,837.20,44.03
29.400,834.80,38.39
29.600,832.40,44.74
29.800,830.00,44.29
30.000,827.60,42.19
30.200,825.20,39.08
30.400,822.80,36.37
30.600,820.40,36.95
30.800,818.00,39.87
31.000,815.60,36.78
31.200,813.20,40.61
31.400,810.80,47.26
31.600,808.40,40.00
31.800,806.00,46.55
32.000,803.60,46.57
32.200,801.20,45.05
32.400,798.80,43.48
32.600,796.40,43.30
32.800,794.00,47.09
33.000,791.60,45.62
33.200,789.20,51.99
33.400,786.80,49.87
33.600,784.40,50.53
33.800,782.00,47.39
34.000,779.60,42.54
34.200,777.20,47.87
34.400,774.80,48.48
34.600,772.40,54.56
34.800,770.00,49.39
35.000,767.60,45.63
35.200,765.20,53.46
35.400,762.80,47.05
35.600,760.40,58.03
35.800,758.00,51.39
36.000,755.60,55.05
36.200,753.20,53.35
36.400,750.80,50.37
36.600,748.40,53.97
36.800,746.00,51.60
37.000,743.60,53.66
37.200,741.20,56.20
37.400,738.80,57.55
37.600,736.40,52.12
37.800,734.00,62.10
38.000,731.60,65.83
38.200,729.20,68.00
38.400,726.80,67.38
38.600,724.40,60.23
38.800,722.00,63.27
39.000,719.60,64.67
39.200,717.20,66.90
39.400,714.80,63.07
39.600,712.40,61.04
39.800,710.00,77.87
40.000,707.60,68.95
40.200,705.20,61.10
40.400,702.80,69.27
40.600,700.40,71.53
40.800,698.00,65.74,99.9
47.000,623.60,96.46
47.200,621.20,105.19
47.400,618.80,106.08
47.600,616.40,106.21
47.800,614.00,102.29
48.000,611.60,110.54
48.200,609.20,109.09
48.400,606.80,100.98
48.600,604.40,115.00
48.800,602.00,112.60
49.000,599.60,111.20
49.200,597.20,115.92
49.400,594.80,117.27
49.600,592.40,116.25
49.800,590.00,116.73
50.000,587.60,122.53
50.200,585.20,122.81
50.400,582.80,123.14
50.600,580.40,122.41
50.800,578.00,125.27
51.000,575.60,122.68
51.200,573.20,130.71
51.400,570.80,126.22
51.600,568.40,131.80
51.800,-38.60,130.46
52.000,563.60,126.59
52.200,561.20,132.42
52.400,558.80,135.49
52.600,556.40,139.62
52.800,554.00,143.59
53.000,551.60,134.19
53.200,549.20,146.87
53.400,546.80,146.92
53.600,544.40,149.31
53.800,542.00,146.39
54.000,539.60,149.49
54.200,537.20,152.74
54.400,534.80,153.32
54.600,532.40,146.89
54.800,530.00,151.00
55.000,527.60,150.39
55.200,525.20,154.15
55.400,522.80,152.63
55.600,520.40,154.31
55.800,518.00,158.66
56.000,515.60,162.53
56.200,513.20,160.86
56.400,510.80,160.66
56.600,508.40,163.30
56.800,506.00,168.23
57.000,503.60,173.24
57.200,501.20,163.72
57.400,498.80,169.11
57.600,496.40,179.14
57.800,494.00,175.03
58.000,491.60,176.50
58.200,489.20,182.95
58.400,486.80,175.29
58.600,484.40,178.94
58.800,482.00,179.35
59.000,479.60,185.20
59.200,477.20,190.49
59.400,474.80,187.67
59.600,472.40,180.83
59.800,470.00,184.15
60.000,467.60,191.52
60.200,465.20,198.87
60.400,462.80,187.41
60.600,460.40,190.68
60.800,458.00,195.40
61.000,455.60,189.73
61.200,453.20,197.96
61.400,450.80,200.48
61.600,448.40,205.48
61.800,446.00,202.84
62.000,443.60,204.24
62.200,441.20,199.46
62.400,438.80,207.30
62.600,436.40,212.74
62.800,434.00,210.67
63.000,431.60,211.13
63.200,429.20,208.14
63.400,426.80,205.75
63.600,424.40,220.03
63.800,422.00,209.98
64.000,419.60,212.86
64.200,417.20,219.36
64.400,414.80,213.10
64.600,412.40,222.57
64.800,410.00,217.05
65.000,407.60,217.27
65.200,405.20,213.63
65.400,402.80,214.15
65.600,400.40,221.41
64.100,520.00,88.40
65.800,398.00,218.26
66.000,395.60,223.60
66.200,393.20,223.54
66.400,390.80,229.06
66.600,388.40,227.52
66.800,386.00,223.75
67.000,383.60,229.91
67.200,381.20,238.59
67.400,378.80,232.18
67.600,376.40,232.55
67.800,374.00,231.73
68.000,371.60,232.21
68.200,369.20,242.67
68.400,366.80,235.24
68.600,364.40,243.48
68.800,362.00,232.20
69.000,359.60,234.88
69.200,357.20,245.25
69.400,354.80,234.57
69.600,352.40,231.89
69.800,350.00,247.17
70.000,347.60,239.55
70.200,345.20,242.90
70.400,342.80,243.22
70.600,340.40,238.73
70.800,338.00,245.40
71.000,335.60,244.53
71.200,333.20,247.81
71.400,330.80,240.46
71.600,328.40,243.03
71.800,326.00,242.00
72.000,323.60,250.47
72.200,321.20,248.23
72.400,318.80,239.82
72.600,316.40,249.88
72.800,314.00,245.67
73.000,311.60,237.94
73.200,309.20,248.20
73.400,306.80,248.74
73.600,304.40,251.32
73.800,302.00,250.00
74.000,299.60,248.78
74.200,297.20,244.48
74.400,294.80,247.64
74.600,292.40,245.64
74.800,290.00,248.32
75.000,287.60,238.60
75.200,285.20,244.79
75.400,282.80,250.77
75.600,280.40,247.65
75.800,278.00,245.27
76.000,275.60,249.40
76.200,273.20,247.90
76.400,270.80,254.18
76.600,268.40,247.38
76.800,266.00,246.68
77.000,263.60,249.32
77.200,261.20,249.77
77.400,258.80,240.48
77.600,256.40,254.74
77.800,254.00,243.25
78.000,251.60,244.99
78.200,249.20,249.68
78.400,246.80,247.20
78.600,244.40,243.77
78.800,242.00,237.51
79.000,239.60,241.11
79.200,237.20,246.31
79.400,234.80,249.08
79.600,232.40,247.10
79.800,230.00,243.70
80.000,227.60,234.38
80.200,225.20,237.74
80.400,222.80,241.06
80.600,220.40,240.96
80.800,218.00,238.16
81.000,215.60,238.05
81.200,213.20,239.46
81.400,210.80,237.82
81.600,208.40,234.53
81.800,206.00,238.24
82.000,203.60,235.31
82.200,201.20,235.56
82.400,198.80,231.21
82.600,196.40,240.27
82.800,194.00,235.34
83.000,191.60,237.11
83.200,189.20,231.10
83.400,186.80,235.37
83.600,184.40,230.05
83.800,182.00,233.13
84.000,179.60,229.83
84.200,177.20,221.51
84.400,174.80,227.33
84.600,172.40,227.54
84.800,170.00,214.69
85.000,167.60,228.52
85.200,165.20,227.82
85.400,162.80,225.06
85.600,160.40,221.65
85.800,158.00,225.86
86.000,155.60,224.93
86.200,153.20,213.60
86.400,150.80,223.34
86.600,148.40,219.75
86.800,146.00,222.09
87.000,143.60,218.91
87.200,141.20,216.88
87.400,138.80,210.41
87.600,136.40,216.36
87.800,134.00,217.34
88.000,131.60,212.02
88.200,129.20,214.97
88.400,126.80,206.69
88.600,124.40,209.37
88.800,122.00,203.83
89.000,119.60,203.51
89.200,117.20,203.52
89.400,114.80,205.20
89.600,112.40,203.02
89.800,110.00,206.31
90.000,107.60,203.75
90.200,105.20,206.72
90.400,102.80,199.27
90.600,100.40,199.92
90.800,98.00,198.67
91.000,95.60,204.35
91.200,93.20,206.08
91.400,90.80,195.79
91.600,88.40,204.37
91.800,86.00,194.60
92.000,83.60,198.57
92.200,81.20,198.23
92.400,78.80,191.31
92.600,76.40,190.07
92.800,74.00,188.76
93.000,71.60,192.12
93.200,69.20,188.24
93.400,66.80,183.42
93.600,64.40,189.73
93.800,62.00,195.66
94.000,59.60,182.70
94.200,57.20,187.80
94.400,54.80,193.40
94.600,52.40,187.87
94.800,50.00,190.35
95.000,47.60,192.79
95.200,45.20,187.02
95.400,42.80,182.81
95.600,40.40,181.76
95.800,38.00,190.60
96.000,35.60,186.25
96.200,33.20,187.66
96.400,30.80,179.72
96.600,28.40,180.82
96.800,26.00,189.38
97.000,23.60,179.86
97.200,21.20,188.58
97.400,18.80,182.20
97.600,16.40,182.75
97.800,14.00,177.66
98.000,11.60,182.87
98.200,9.20,183.31
98.400,6.80,179.26
98.600,4.40,191.72
98.800,2.00,184.72
99.000,0.00,142.10,


